A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,Target
b,35.97222222222222,0.0,u,g,w,v,14.522471910112362,t,t,1.4925373134328357,f,g,10.100000000000001,0.0,+
a,22.5,22.459252157238733,y,p,q,h,5.0,f,f,8.955223880597014,t,s,2.15,0.5599999999999999,-
,77.5,14.285714285714285,l,gg,m,bb,25.0,,,0.0,,p,14.000000000000002,0.8240000000000001,
,65.0,21.428571428571427,,,r,ff,75.0,,,7.462686567164178,,,5.0,0.003,
,17.5,3.571428571428571,,,cc,j,35.0,,,10.44776119402985,,,6.0,31.285,
,62.5,28.57142857142857,,,k,z,10.0,,,14.925373134328357,,,18.0,1.349,
,25.0,46.42857142857143,,,c,o,0.0,,,4.477611940298507,,,8.200000000000001,0.314,
,50.0,53.57142857142857,,,d,dd,30.0,,,25.37313432835821,,,4.0,1.442,
,45.0,100.0,,,x,n,15.0,,,2.9850746268656714,,,9.0,0.2,
,82.5,10.714285714285714,,,i,,20.0,,,13.432835820895523,,,2.6,2.69,
,67.5,17.857142857142858,,,e,,50.0,,,11.940298507462686,,,6.4,0.245,
,30.0,25.0,,,aa,,70.0,,,22.388059701492537,,,13.0,1.208,
,70.0,67.85714285714286,,,ff,,65.0,,,16.417910447761194,,,0.0,1.26,
,40.0,39.285714285714285,,,j,,40.0,,,17.91044776119403,,,16.0,0.011000000000000001,
,100.0,42.857142857142854,,,,,55.00000000000001,,,59.70149253731343,,,19.8,10.0,
,27.500000000000004,32.142857142857146,,,,,45.0,,,34.32835820895522,,,4.8,5.0,
,60.0,57.14285714285714,,,,,90.0,,,5.970149253731343,,,10.0,4.0,
,72.5,35.714285714285715,,,,,100.0,,,29.850746268656714,,,15.0,0.034999999999999996,
,10.0,7.142857142857142,,,,,80.0,,,100.0,,,7.249999999999999,0.713,
,5.0,75.0,,,,,,,,20.8955223880597,,,25.0,0.551,
,7.5,78.57142857142857,,,,,,,,23.88059701492537,,,8.4,0.5,
