A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,Target
b,35.97222222222223,0.0,u,g,w,v,14.52247191011236,t,t,1.492537313432836,f,g,10.100000000000001,0.0,+
a,22.5,22.459252157238737,y,p,q,h,5.0,f,f,8.955223880597016,t,s,2.15,0.56,-
,77.5,14.285714285714286,l,gg,m,bb,25.0,,,0.0,,p,14.0,0.8240000000000001,
,65.0,21.42857142857143,,,r,ff,75.0,,,7.462686567164179,,,5.0,0.003,
,17.5,3.5714285714285716,,,cc,j,35.0,,,10.447761194029852,,,6.0,31.285,
,62.5,28.571428571428573,,,k,z,10.0,,,14.925373134328359,,,18.0,1.349,
,25.0,46.42857142857143,,,c,o,0.0,,,4.477611940298508,,,8.200000000000001,0.314,
,50.0,53.57142857142858,,,d,dd,30.0,,,25.373134328358212,,,4.0,1.442,
,45.0,100.0,,,x,n,15.0,,,2.985074626865672,,,9.0,0.2,
,82.5,10.714285714285715,,,i,,20.0,,,13.432835820895523,,,2.6,2.69,
,67.5,17.857142857142858,,,e,,50.0,,,11.940298507462687,,,6.4,0.245,
,30.0,25.0,,,aa,,70.0,,,22.388059701492537,,,13.0,1.208,
,70.0,67.85714285714286,,,ff,,65.0,,,16.417910447761194,,,0.0,1.26,
,40.0,39.285714285714285,,,j,,40.0,,,17.910447761194032,,,16.0,0.011,
,100.0,42.85714285714286,,,,,55.0,,,59.701492537313435,,,19.8,10.0,
,27.5,32.142857142857146,,,,,45.0,,,34.32835820895522,,,4.800000000000001,5.0,
,60.0,57.142857142857146,,,,,90.0,,,5.970149253731344,,,10.0,4.0,
,72.5,35.714285714285715,,,,,100.0,,,29.850746268656717,,,15.0,0.035,
,10.0,7.142857142857143,,,,,80.0,,,100.0,,,7.25,0.713,
,5.0,75.0,,,,,,,,20.895522388059703,,,25.0,0.551,
,7.5,78.57142857142857,,,,,,,,23.880597014925375,,,8.4,0.5,
,0.0,50.0,,,,,,,,19.402985074626866,,,21.700000000000003,0.3,
,42.5,71.42857142857143,,,,,,,,28.358208955223883,,,29.150000000000002,0.221,
,37.5,,,,,,,,,3.582089552238806,,,1.5,2.283,
,47.5,,,,,,,,,,,,12.0,0.1,
,57.5,,,,,,,,,,,,3.5,0.015,
,12.5,,,,,,,,,,,,22.75,0.28400000000000003,
,75.0,,,,,,,,,,,,15.55,1.236,
,35.0,,,,,,,,,,,,10.8,5.8,
,15.0,,,,,,,,,,,,24.55,0.73,
,,,,,,,,,,,,,20.0,0.4,
,,,,,,,,,,,,,11.950000000000001,50.0,
,,,,,,,,,,,,,8.0,0.456,
,,,,,,,,,,,,,35.550000000000004,15.108,
,,,,,,,,,,,,,12.5,2.954,
,,,,,,,,,,,,,26.0,0.002,
,,,,,,,,,,,,,25.75,0.02,
,,,,,,,,,,,,,21.0,0.027,
,,,,,,,,,,,,,9.200738552437222,0.225,
,,,,,,,,,,,,,49.0,0.001,
,,,,,,,,,,,,,22.150000000000002,0.038,
,,,,,,,,,,,,,7.0,0.005,
,,,,,,,,,,,,,4.7,0.13,
,,,,,,,,,,,,,18.400000000000002,0.147,
,,,,,,,,,,,,,14.4,0.21,
,,,,,,,,,,,,,46.400000000000006,11.202,
,,,,,,,,,,,,,9.4,1.332,
,,,,,,,,,,,,,5.6000000000000005,0.05,
,,,,,,,,,,,,,8.55,0.258,
,,,,,,,,,,,,,13.4,0.5670000000000001,
,,,,,,,,,,,,,8.35,1.0,
,,,,,,,,,,,,,3.75,2.5100000000000002,
,,,,,,,,,,,,,7.6000000000000005,0.809,
,,,,,,,,,,,,,8.8,0.61,
,,,,,,,,,,,,,16.45,0.15,
,,,,,,,,,,,,,10.600000000000001,51.1,
,,,,,,,,,,,,,20.5,0.367,
,,,,,,,,,,,,,13.700000000000001,0.6,
,,,,,,,,,,,,,18.75,0.247,
,,,,,,,,,,,,,20.400000000000002,0.375,
,,,,,,,,,,,,,17.5,0.278,
,,,,,,,,,,,,,10.200000000000001,0.8270000000000001,
,,,,,,,,,,,,,2.0,2.072,
,,,,,,,,,,,,,9.05,0.582,
,,,,,,,,,,,,,19.950000000000003,2.3000000000000003,
,,,,,,,,,,,,,22.0,3.065,
,,,,,,,,,,,,,4.65,2.2,
,,,,,,,,,,,,,3.0,0.006,
,,,,,,,,,,,,,19.75,1.602,
,,,,,,,,,,,,,19.650000000000002,2.184,
,,,,,,,,,,,,,1.05,3.376,
,,,,,,,,,,,,,1.4500000000000002,2.0,
,,,,,,,,,,,,,5.1000000000000005,7.5440000000000005,
,,,,,,,,,,,,,21.55,10.561,
,,,,,,,,,,,,,18.5,0.837,
,,,,,,,,,,,,,1.2000000000000002,11.177,
,,,,,,,,,,,,,1.0,0.639,
,,,,,,,,,,,,,6.45,2.028,
,,,,,,,,,,,,,25.5,1.065,
,,,,,,,,,,,,,9.75,0.54,
,,,,,,,,,,,,,7.2,0.158,
,,,,,,,,,,,,,19.0,15.0,
,,,,,,,,,,,,,2.45,3.0,
,,,,,,,,,,,,,2.5,3.257,
,,,,,,,,,,,,,19.05,1.655,
,,,,,,,,,,,,,7.5,1.43,
,,,,,,,,,,,,,5.8500000000000005,0.007,
,,,,,,,,,,,,,2.8000000000000003,0.79,
,,,,,,,,,,,,,10.55,0.396,
,,,,,,,,,,,,,11.5,0.678,
,,,,,,,,,,,,,7.800000000000001,1.187,
,,,,,,,,,,,,,1.1,6.59,
,,,,,,,,,,,,,11.4,0.168,
,,,,,,,,,,,,,25.950000000000003,1.27,
,,,,,,,,,,,,,12.65,1.21,
,,,,,,,,,,,,,24.35,0.742,
,,,,,,,,,,,,,11.0,8.851,
,,,,,,,,,,,,,4.4,7.059,
,,,,,,,,,,,,,3.6500000000000004,1.704,
,,,,,,,,,,,,,6.050000000000001,0.857,
,,,,,,,,,,,,,23.5,6.7,
,,,,,,,,,,,,,6.800000000000001,2.503,
,,,,,,,,,,,,,6.6000000000000005,9.8,
,,,,,,,,,,,,,14.600000000000001,0.196,
,,,,,,,,,,,,,7.7,0.014,
,,,,,,,,,,,,,13.600000000000001,26.726,
,,,,,,,,,,,,,17.0,18.027,
,,,,,,,,,,,,,5.4,0.099,
,,,,,,,,,,,,,36.0,0.444,
,,,,,,,,,,,,,22.5,1.2,
,,,,,,,,,,,,,11.600000000000001,2.0100000000000002,
,,,,,,,,,,,,,8.5,0.013000000000000001,
,,,,,,,,,,,,,58.0,0.12,
,,,,,,,,,,,,,20.55,0.032,
,,,,,,,,,,,,,23.0,0.722,
,,,,,,,,,,,,,17.400000000000002,0.04,
,,,,,,,,,,,,,24.0,0.484,
,,,,,,,,,,,,,32.0,0.20400000000000001,
,,,,,,,,,,,,,18.6,0.098,
,,,,,,,,,,,,,13.8,5.5520000000000005,
,,,,,,,,,,,,,11.05,0.105,
,,,,,,,,,,,,,17.6,2.803,
,,,,,,,,,,,,,7.050000000000001,0.126,
,,,,,,,,,,,,,8.9,0.004,
,,,,,,,,,,,,,30.0,0.021,
,,,,,,,,,,,,,27.5,0.17300000000000001,
