x1,x2,x3,y
"-4,838",1.9542,2.6468,"48,142"
"38,561",4.9542,8.6468,"-23,943"
"-29,564","-45,805","-13,532","-4,374"
"70,548",3.9542,6.6468,"38,951"
"18,722","-50,458","-93,532","20,458"
"41,691",5.9542,9.6468,"26,728"
"-31,286",3.9542,7.6468,"-27,436"
"14,197","-30,458","-63,532","-38,824"
"-32,997",5.9542,"10,647","-22,112"
"-28,295",5.9542,9.6468,"-38,952"
199,"95,419","64,684","47,611"
"48,153",2.9542,5.6468,"-37,202"
"82,016","-10,458","-33,532","48,695"
"-16,357",7.9542,"14,647","33,152"
"-41,575",2.9542,5.6468,"-13,525"
"36,365",6.9542,"11,647","33,782"
"34,692",3.9542,6.6468,"24,988"
"-20,407","-10,458","-33,532","41,389"
"-15,146","-20,458","-43,532","21,486"
-405,"-20,458","-53,532","-23,003"
"13,233",4.9542,8.6468,"85,556"
"19,264","-40,458","-83,532","-27,866"
"35,356",4.9542,8.6468,"-33,215"
"41,803","-50,458","-93,532","-17,586"
"-67,029","95,419","64,684","21,474"
"12,914","-30,458","-63,532","17,085"
"-17,543","-30,458","-73,532","23,363"
"-92,403","-80,458","-12,353","-22,971"
"-16,629",3.9542,6.6468,"-32,359"
"-22,913","-20,458","-53,532","-23,396"
"35,821",4.9542,8.6468,"-43,535"
"4,686",2.9542,4.6468,"-25,165"
"-40,791",6.9542,"12,647","19,578"
"2,053",1.9542,3.6468,"55,521"
"-13,499","-80,458","-12,353","-25,325"
"16,052",2.9542,5.6468,"-59,997"
"14,261",3.9542,7.6468,"-27,956"
"-47,737",1.9542,2.6468,"18,088"
"-42,473","-10,458","-23,532","-32,813"
"-4,924",4.9542,8.6468,"-18,983"
"34,201",5.9542,9.6468,"-10,246"
"26,618",7.9542,"14,647","29,206"
"17,016",2.9542,5.6468,"53,229"
"-25,888",3.9542,7.6468,"-92,927"
"-18,134",1.9542,3.6468,"-17,412"
"-46,345",2.9542,4.6468,"47,334"
"-48,491",6.9542,"11,647","-92,813"
"-22,796",5.9542,9.6468,"17,469"
"49,296",6.9542,"12,647","18,164"
"-30,723","-30,458","-73,532","20,351"
"24,528","-30,458","-73,532","-18,006"
"-47,226","95,419",1.6468,"33,701"
"-1,384","-10,458","-23,532",-445
"-47,229","95,419",1.6468,"24,098"
"-23,057","-30,458","-73,532","47,747"
"-18,285",3.9542,6.6468,"-24,912"
"-48,099",2.9542,4.6468,"18,294"
"44,746",1.9542,2.6468,"-27,232"
"2,741","95,419","64,684","33,661"
"31,902",1.9542,3.6468,"22,089"
"-28,671",2.9542,4.6468,"-49,218"
"-10,865","95,419","64,684","-1,415"
"42,987","-20,458","-53,532","-10,593"
"-42,763",7.9542,"13,647","-38,185"
"-47,458",2.9542,4.6468,"46,323"
"-31,552",6.9542,"12,647","45,096"
"28,748","-40,458","-83,532","-21,947"
"-12,315","-45,805","-35,316","-33,101"
"-63,219","-10,458","-23,532","-21,612"
"10,019",2.9542,4.6468,"-45,699"
"-45,752","-80,458","-12,353","73,363"
"39,343","-20,458","-43,532","38,919"
"-16,246",3.9542,7.6468,"28,059"
"-34,309",4.9542,8.6468,"-23,949"
"28,437","-80,458","-12,353","-26,842"
"-27,114",7.9542,"14,647","-16,663"
"69,799",2.9542,4.6468,"1,552"
"14,968",7.9542,"13,647","-15,053"
"-40,939","-20,458","-53,532","-30,173"
"16,093","-20,458","-43,532","26,654"
"34,458",7.9542,"14,647","-20,807"
"-4,197",3.9542,6.6468,"-24,881"
"21,994","95,419",1.6468,"-19,189"
"33,149","-30,458","-73,532","-45,772"
"-21,885","-90,458","-13,353","21,146"
"-12,708","-40,458","-83,532","49,357"
"-13,252","-10,458","-33,532","25,211"
"-40,182","-20,458","-43,532","44,295"
"27,885","95,419","64,684","46,001"
"24,568","-90,458","-13,353","41,866"
"4,448","95,419","64,684","20,822"
"-16,367","-40,458","-83,532","-74,417"
"28,204","-60,458","-10,353","-19,478"
"22,227","-80,458","-12,353","44,876"
"-75,448",5.9542,9.6468,"-70,009"
"-13,292","-45,805","-13,532","-20,062"
"-44,194",6.9542,"12,647","27,011"
"11,234",5.9542,9.6468,"79,484"
"-40,945","-10,458","-23,532","20,615"
"30,704","-30,458","-63,532","41,919"
"-1,062","-30,458","-63,532","-37,592"
"-18,296","-90,458","-13,353","85,821"
"-33,346","-20,458","-53,532","-75,987"
"-45,855","-90,458","-13,353","20,178"
"14,087","-10,458","-33,532","37,452"
"17,719",1.9542,2.6468,"-32,933"
"-78,167",1.9542,2.6468,"-31,343"
"-33,017",5.9542,9.6468,"37,035"
"25,442","-40,458","-83,532","24,707"
"-44,509","-50,458","-93,532","-26,962"
"46,976","95,419","64,684","-74,072"
"28,352",5.9542,"10,647","-17,288"
"-44,727",3.9542,7.6468,"-14,308"
"-65,625",6.9542,"12,647","10,791"
"3,389","-20,458","-43,532","67,065"
"25,693","95,419",1.6468,"-4,782"
"-37,204",1.9542,2.6468,"-29,617"
"-54,368",2.9542,5.6468,"-57,419"
"94,696","-20,458","-43,532","7,747"
"3,762","-45,805","-35,316","47,808"
"-30,365",4.9542,8.6468,"-12,953"
"-47,417","-30,458","-63,532","28,103"
"46,667","-90,458","-13,353","28,223"
"16,385","-20,458","-53,532","-37,445"
"-89,138","-20,458","-43,532","-48,264"
"-43,232","95,419","64,684","36,578"
"17,181",5.9542,9.6468,"18,984"
"31,073","-10,046","-14,353","-26,513"
"47,302","-10,458","-23,532","-2,044"
"-11,648","-30,458","-73,532","-18,978"
"44,976","-20,458","-53,532","44,546"
"-50,142","-70,458","-11,353","-11,498"
"29,899","-90,458","-13,353","-1,497"
"-39,609",4.9542,8.6468,"-16,327"
"-17,644","-10,046","-14,353","16,006"
"17,158",6.9542,"11,647","44,064"
"27,018",1.9542,2.6468,"31,424"
"-18,159","-20,458","-43,532","69,567"
"13,634","-30,458","-73,532","-29,614"
"44,314","-70,458","-11,353","10,741"
